Publication,Sample Name,Lab,Acid T,N,Δ47 avg,1 s.e.,Growth Temperature (C),Temperature Error (C)
" Anderson et al., 2021",UWCP14_4C_3,MIT,70,8,0.65,0.01272792,6,0.05
" Anderson et al., 2021",UWCP14_4C_4,MIT,70,9,0.658,0.012,6,0.05
" Anderson et al., 2021",UWCP14_8C_2,MIT,70,9,0.633,0.012,9,0.12
" Anderson et al., 2021",UWCP14_8C_6,MIT,70,9,0.648,0.012,9,0.15
" Anderson et al., 2021",UWCP14_8C_CA_4,MIT,70,8,0.648,0.01272792,9,0.12
" Anderson et al., 2021",UWCP14_21C_1,MIT,70,8,0.611,0.01272792,22,0.22
" Anderson et al., 2021",UWCP14_20C_9,MIT,70,8,0.604,0.01272792,23,0.33
" Anderson et al., 2021",UWCP14_20C_CA_11,MIT,70,10,0.615,0.0113842,23,0.34
" Anderson et al., 2021",HT_25C,MIT,70,9,0.61,0.012,25,2
" Anderson et al., 2021",UWCP14_50C_CA_11,MIT,70,9,0.527,0.012,50,0.74
"Defliese et al., 2015",5CCalcite1-12-2012,UMichigan,75,4,0.637,0.00297037,5,1
"Defliese et al., 2015",25CCalcite1-12-2011,UMichigan,75,4,0.589,0.01308577,25,1
"Defliese et al., 2015",50CCalcite3-24-2014,UMichigan,75,4,0.504,0.00799109,50,1
"Defliese and Tripati, 2020",5C Calcite',UCLATripati,70/90,12,0.66,0.006,5,0.5
"Defliese and Tripati, 2020",25C Calcite',UCLATripati,70/90,7,0.6,0.01,25,0.5
"Jautzy et al., 2020",CA5_05,GeoSurveyCanada,70,21,0.659,0.006,5,0.5
"Jautzy et al., 2020",CA5_07,GeoSurveyCanada,70,19,0.665,0.007,5,0.5
"Jautzy et al., 2020",CA25,GeoSurveyCanada,70,24,0.589,0.009,25,0.5
"Jautzy et al., 2020",CA50,GeoSurveyCanada,70,21,0.535,0.009,50,0.5
"Kelson et al., 2017",150618_7_4C_Z_3,UW,25/90,3,0.669,0.00998225,4,0.33
"Kelson et al., 2017",141209_5_UWcp14_4C_2,UW,25/90,6,0.674,0.02262465,6,0.05
"Kelson et al., 2017",141218_4_UWcp14_4C_1,UW,25/90,5,0.684,0.01515866,6,0.05
"Kelson et al., 2017",150122_2_4C_4,UW,25/90,3,0.639,0.00996658,6,0.05
"Kelson et al., 2017",150122_7_4C_3,UW,25/90,3,0.652,0.00201866,6,0.05
"Kelson et al., 2017",150309_2_4C_5,UW,25/90,3,0.656,0.01670016,6,0.05
"Kelson et al., 2017",150422_7_4C_6,UW,25/90,2,0.684,0.00432,6,0.05
"Kelson et al., 2017",141209_8_UWcp14_8C_2,UW,25/90,3,0.663,0.02071418,9,0.12
"Kelson et al., 2017",141212_5_UWcp14_8C_3,UW,25/90,3,0.652,0.01405223,9,0.12
"Kelson et al., 2017",150205_8_8C_CA_4,UW,25/90,2,0.644,0.006245,9,0.12
"Kelson et al., 2017",150212_6_8C_1,UW,25/90,3,0.668,0.00729719,9,0.12
"Kelson et al., 2017",150601_8_8C_6,UW,25/90,2,0.675,0.001725,9,0.15
"Kelson et al., 2017",150309_7_8C_CA_5,UW,25/90,3,0.662,0.00856297,13,0.12
"Kelson et al., 2017",150410_3_20C_Z_15,UW,25/90,4,0.648,0.00672045,20,1.45
