"","Sample","D47","D47error","meanTemp","error"
"1",1,0.681,0.008,1.18528015835961,4.11738957722812
"2",2,0.684,0.008,-0.509743077328392,3.9673338920742
"3",3,0.676,0.004,2.11790279754512,3.65698475888888
"4",4,0.682,0.008,0.0796971026074188,4.060034606254
"5",5,0.671,0.006,3.14550817502187,3.85423977961197
"6",6,0.677,0.006,1.15810636271145,3.75325877737334
"7",7,0.673,0.006,2.12137895360278,3.78472053641662
"8",8,0.661,0.009,6.12124142933034,4.38724492146816
"9",9,0.646,0.009,8.90252220494531,4.43529244459346
"10",10,0.657611524776784,0.0101488637502819,4.95714905521834,4.45540596182325
"11",11,0.655,0.006,6.47217404000815,3.89844277435557
"12",12,0.649094141951032,0.00679565885344525,8.71656783821492,4.09740317819386
"13",13,0.65480700769351,0.00623805029962956,6.34577756633546,3.92955038441876
"14",14,0.649,0.007,8.06734710474366,4.08669304756741
"15",15,0.649733286163514,0.00528199320075591,7.74538772919226,3.87032459345273
"16",16,0.651,0.006,7.25703433047681,3.91599305552288
"17",17,0.65,0.006,7.15844763003035,3.90669633159311
"18",18,0.644,0.004,9.08758132103184,3.78822365232599
"19",19,0.646,0.004,8.39426615581496,3.77801344204126
"20",20,0.652,0.004,6.41456859306535,3.6868534823071
"21",21,0.648,0.005,7.6875874415239,3.82304534199003
"22",22,0.657,0.008,4.89145957356905,4.10880221083172
"23",23,0.649,0.005,7.38199980326903,3.80327259304023
"24",24,0.659,0.004,4.17819796256619,3.61470333977779
"25",25,0.66,0.004,3.86497903121308,3.57169296694292
"26",26,0.661127331826309,0.0062713709882038,3.55978611062048,3.82983707738336
"27",27,0.654,0.004,5.69043188498456,3.66041506134133
"28",28,0.64,0.005,10.1409256051588,3.94430156527731
"29",29,0.642,0.003,9.47572937432561,3.74279218547956
"30",30,0.639,0.005,10.4817880367608,3.99012654039749
"31",31,0.646,0.004,8.19985524230445,3.74645166848045
"32",32,0.65,0.004,6.93307662161149,3.71467661065231
"33",33,0.642,0.004,9.47929145098202,3.81916741916337
"34",34,0.645,0.006,8.49384681442464,4.00599452055471
"35",35,0.655,0.004,5.29769646595906,3.60149776089792
"36",36,0.646,0.004,8.11915315833088,3.75322738662218
"37",37,0.641,0.006,9.73863979889485,4.05262839146503
"38",38,0.638,0.005,10.6787053753086,3.9995214501126
"39",39,0.647,0.004,7.72471275757795,3.72295601593053
"40",40,0.646,0.004,8.05673601956802,3.77274414968694
"41",41,0.64,0.004,9.95906459429445,3.85581867923188
"42",42,0.663,0.007,2.79633292473835,3.87273444262741
"43",43,0.636,0.005,11.0532775758939,4.02569585068743
"44",44,0.639051610385429,0.00476171288173212,10.0214403755713,3.95309348771484
"45",45,0.635,0.006,10.8928574516029,4.14779428700305
"46",46,0.635,0.008,10.8655453264304,4.45392086495652
"47",47,0.633,0.007,11.3470573312254,4.32820167284634
"48",48,0.638942264462639,0.00467249456030069,9.37324920699708,3.91285270352075
"49",49,0.612,0.007,18.2483180987534,4.81087559737427
"50",50,0.628,0.008,12.7928327010685,4.59669679878969
"51",51,0.617,0.007,16.4940536291478,4.6780112633409
"52",52,0.614,0.006,17.5013485298859,4.62578289950593
"53",53,0.641,0.007,8.63895660344584,4.21548753003965
"54",54,0.64547619047619,0.0067512323557996,7.28583219972365,4.09517447044166
"55",55,0.633,0.009,11.2486923908131,4.66666583408404
"56",56,0.636107142857143,0.00443093361646616,10.2966592498249,3.94551186381693
"57",57,0.628107142857143,0.00449730645010127,13.2942010981138,4.12468027100727
"58",58,0.614,0.007,18.7042433007652,4.75152286718222
"59",59,0.619,0.008,16.8809097907313,4.77726146925218
"60",60,0.631,0.01,12.7949424018948,4.86150181724539
"61",61,0.626,0.008,14.6256944907339,4.64343077157675
"62",62,0.644,0.005,8.62922398822062,3.85543036736927
"63",63,0.642,0.011,9.39156329282554,4.90060271202175
