"","group1","group2","z_slope","p_slope","z_intercept","p_intercept","p_slope_adj","p_intercept_adj"
"calcTiso","UCLA","ben",0.267341948666463,0.789205891357758,-0.529174969953957,0.596684078378249,1,1
"calcTiso1","UCLA","mixplan",-0.601962993701959,0.54719877086105,0.469128069096915,0.638978096749576,1,1
"calcTiso2","UCLA","epiben",-1.05998812323831,0.289150002567061,0.920504468133667,0.357309199179683,1,1
"calcTiso3","UCLA","infraben",-1.19652563036484,0.23149150278027,1.12458603395846,0.260764494595098,1,1
"calcTiso4","UCLA","allforams",-1.25369671340572,0.209952262985758,1.11629812917061,0.2642945421649,1,1
"calcTiso5","ben","mixplan",-0.723087714107548,0.46962599688326,0.894421626864554,0.371096345441218,1,1
"calcTiso6","ben","epiben",-1.03598554350336,0.300208886913267,1.19671533554097,0.231417527608493,1,1
"calcTiso7","ben","infraben",-1.26626701391241,0.20541750236985,1.34110117432637,0.179887606094258,1,1
"calcTiso8","ben","allforams",-1.14568017831026,0.251927508357917,1.31196388926095,0.189532318881758,1,1
"calcTiso9","mixplan","epiben",-0.5658645554808,0.571485858059758,0.565835335622755,0.571505723153636,1,1
"calcTiso10","mixplan","infraben",-0.9818203337766,0.326188368845467,0.970752534478215,0.331671524231761,1,1
"calcTiso11","mixplan","allforams",-0.815594427579207,0.414732137610722,0.832161075542029,0.405318031499109,1,1
"calcTiso12","epiben","infraben",-0.821903038919471,0.411132083284087,0.818091358286456,0.413305022979405,1,1
"calcTiso13","epiben","allforams",-0.192378926169491,0.847445398563493,0.209325590493719,0.834194075934465,1,1
"calcTiso14","infraben","allforams",0.790187092573919,0.429418512924843,-0.78391268098491,0.433091348393137,1,1
